Nombre;Autor;Precio;Genero;Puntuacion;Edad;Imagen
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;0;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;1;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;2;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
ADIVINA CUANTO TE QUIERO;Sam McBratney;5;Lectura;8;3;https://i.ytimg.com/vi/URz5RvDkk1A/hqdefault.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;0;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;1;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;2;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
SIEMPRE TE QUERRÉ PEQUEÑIN;Debi Gliori;10;Lectura;7;3;https://estaticos.serpadres.es/media/cache/1140x_thumb/uploads/images/gallery/58a1d57a5cafe8f9478b4567/siempre-te-querre-pequenin.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;0;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;1;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;2;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
EL GRÚFALO;Julia Donaldson;22;Otros;10;3;https://imagessl6.casadellibro.com/a/l/t5/56/9788469605356.jpg
TODOS SOIS MIS FAVORITOS;Sam McBratney;17;Lectura;6;0;https://imagessl7.casadellibro.com/a/l/t5/67/9788416126767.jpg
